1	hensonalex	r&8!hOqDXR	anthony34@hotmail.com	Jamie Mays	Media planner	34	non binary	any	151.751645	-63.925160
2	lrobinson	!n#6bWYfpB	griffinseth@yahoo.com	Daniel Flores	Writer	31	male	any	-114.541052	87.7124625
3	nguyenbilly	(7O32ZtB(&	woodjohn@hotmail.com	Ashley Williams	Psychotherapist, dance movement	19	female	any	31.076507	21.814527
4	whitney40	%7SRHu!YEx	zsutton@gmail.com	Tanya Garcia	Research scientist (physical sciences)	30	non binary	female	1.532018	64.538874
5	kimberlykent	Zm!1LQf&pd	sschneider@gmail.com	Tasha Harris	Scientist, research (life sciences)	21	female	female	-18.624917	-85.6791815
6	browndaniel	)yEn7PH@m*	bishopmiguel@yahoo.com	Nancy Morales	Broadcast journalist	29	female	any	-138.259427	47.977381
7	khanryan	VN2ESKgtp_	masonandrew@hotmail.com	Julie Wood	Doctor, general practice	40	non binary	male	1.913540	80.045969
8	areyes	#G8FFZ_j$B	zthomas@hotmail.com	Thomas Burnett	Primary school teacher	40	male	any	67.666676	50.0059615
9	troyquinn	(wkHnUZys1	gallagherfrancis@gmail.com	Joan Jones	Cartographer	21	female	any	-175.107401	7.5437105
10	danielturner	Z*a8L6UIHx	diazmary@yahoo.com	Robert Serrano	Statistician	19	male	male	-86.289154	27.133878
11	mckinneysusan	+83qV)zlV^	mannlori@gmail.com	Erin Graham	Building control surveyor	31	female	male	-32.663070	-8.6422245
12	lhughes	X7WnSp(&$%	rphelps@gmail.com	Gloria Mason	Homeopath	38	female	female	177.043736	87.9252475
13	moralestammy	)4bSD8jHUO	danielstheresa@gmail.com	Mindy Clark	Industrial buyer	35	female	any	-91.193546	-63.471985
14	thomasdaniel	*gf+#bue4Y	rbray@yahoo.com	Kimberly Jackson	Licensed conveyancer	38	female	any	12.260435	-4.646799
15	kimberlyhowe	E)I1n!Vxmc	dixonstacy@yahoo.com	Jerry Escobar	Furniture conservator/restorer	39	non binary	any	-165.272720	-79.8900115
16	jacob45	(2&AgUvp7v	john00@gmail.com	Katherine Wright	Biochemist, clinical	31	female	male	23.226377	48.796196
17	kevin37	!1sGB(BC$d	rosstonya@gmail.com	Angela Cameron	Ship broker	33	female	male	-179.340579	-63.740796
18	lrivera	(onXJYFY3L	hilleric@yahoo.com	Nathan Pratt	Barista	19	male	any	128.877974	28.543833
19	victortucker	F0JMcYiT+@	amandagarcia@gmail.com	Emily Hunt	Science writer	24	female	female	63.276025	-57.6367645
